,boto3,urllib3,botocore,requests,certifi,charset-normalizer,setuptools,idna,grpcio-status,typing-extensions
boto3,0,10.0,14.0,27.0,4.0,2.0,10.0,2.0,1.0,8.0
urllib3,10.0,0,6.0,40.0,22.0,7.0,7.0,13.0,0.0,7.0
botocore,14.0,6.0,0,14.0,2.0,2.0,2.0,2.0,0.0,4.0
requests,27.0,40.0,14.0,0,28.0,8.0,27.0,14.0,0.0,21.0
certifi,4.0,22.0,2.0,28.0,0,7.0,8.0,14.0,0.0,6.0
charset-normalizer,2.0,7.0,2.0,8.0,7.0,0,3.0,7.0,0.0,2.0
setuptools,10.0,7.0,2.0,27.0,8.0,3.0,0,1.0,1.0,7.0
idna,2.0,13.0,2.0,14.0,14.0,7.0,1.0,0,0.0,4.0
grpcio-status,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0
typing-extensions,8.0,7.0,4.0,21.0,6.0,2.0,7.0,4.0,1.0,0
